database_identifier,Succinic acid,group_type
C00732,0.3802851858497681,Control
C00748,0.4629195179123583,Control
C00750,0.2428305418333097,Control
C00752,0.011814144216338,Control
C00754,0.1192995844979846,Control
C00755,0.4752887775612042,Control
C00759,0.2687873354575739,Control
C00763,0.0474894539698297,Control
C00777,0.3127526697951063,Control
C00823,0.2847323025538336,Control
C00824,0.8335445665171134,Control
C00826,0.2958672371646725,Control
C00827,0.0747881431349921,Control
C00828,-0.0078858595858359,Control
C00829,0.2636324274049746,Control
C00831,0.1762477587914757,Control
C00832,0.2891117477040826,Control
C00838,0.4218980434534904,Control
C00840,0.1621112255493513,Control
C00841,0.2023926772085033,Control
C00848,0.4574983480454676,Control
C00849,0.1349009141479038,Control
C00851,0.5794265963337573,Control
C00853,0.313171015076624,Control
C00859,0.3747371858854633,Control
C00860,0.3462249191888572,Control
C00870,0.2183372025019771,Control
C00882,0.3734782578586431,Control
C00887,0.2685907505972568,Control
C00892,0.2024120755199082,Control
C00895,0.1266938208441827,Control
C00897,0.314563440302194,Control
C00899,0.4735143200471621,Control
C00910,0.5712842201032495,Control
C00912,0.0906157289847702,Control
C00917,0.138408566593762,Control
C00921,-0.0571861449390231,Control
C00002,-0.1410843126325413,Case
C00003,0.1287755561715601,Case
C00008,0.2865231286443571,Case
C00015,0.0742134894520281,Case
C00017,0.2011893983703227,Case
C00025,-0.2535885119365534,Case
C00028,0.3167854951252917,Case
C00030,0.6732387766536327,Case
C00038,0.115446501015058,Case
C00043,0.9128437223071674,Case
C00047,-0.1173289298484122,Case
C00051,0.0350652707622071,Case
C00056,0.4384698118258345,Case
C00077,0.2500905814971191,Case
C00078,-0.0596300671055162,Case
C00081,0.2284857580305524,Case
C00086,0.1539390173385645,Case
C00090,0.1689971640353944,Case
C00091,0.3302722215362736,Case
C00093,0.1005996577752169,Case
C00096,-0.0657883396909487,Case
C00099,0.3059576032923203,Case
C00100,0.3692629437532236,Case
C00102,-0.3082497903839029,Case
C00103,0.5639405417158578,Case
C00109,0.1440315631701028,Case
C00114,0.0999355201091772,Case
C00127,0.2155325978728401,Case
C00129,0.0653913130425506,Case
C00131,0.0463671947319945,Case
C00136,0.3242721545260187,Case
C00141,0.1340215034955299,Case
C00145,0.0259733859224048,Case
C00152,0.2687808906067594,Case
C00153,-0.050219002174103,Case
C00156,-0.1149421304865554,Case
C00157,0.0025052785648678,Case
C00158,-0.0447144894675882,Case
C00159,0.2713254940452984,Case
C00161,0.4368811766535011,Case
C00164,0.1664497140862449,Case
C00168,0.0086174668349034,Case
C00169,-0.2142366816065857,Case
C00176,0.2094580930207257,Case
C00180,0.4940829679328666,Case
C00181,-0.1255311582064728,Case
C00183,-0.0214317718980904,Case
C00189,0.1329285121612554,Case
C00194,0.2979786992433343,Case
C00195,0.0723388256300676,Case
C00196,0.1585244506319423,Case
C00205,-0.1256837067961498,Case
C00208,0.2053617253264894,Case
C00213,0.2441520172292606,Case
C00216,0.0152478581193129,Case
C00226,-0.367319233702667,Case
C00228,0.2085487476067421,Case
C00230,0.1942030840015778,Case
C00232,0.1647532378829167,Case
C00233,0.4505177941844336,Case
C00235,0.1739137139556768,Case
C00236,0.2894852117839305,Case
C00240,0.2628920245063005,Case
C00242,0.2391473509426217,Case
C00246,-0.0026740949046233,Case
C00247,-0.1071676520262645,Case
C00248,0.5459782309029398,Case
C00250,0.0728714998026264,Case
C00255,0.3371184190265762,Case
C00259,0.0370871994448225,Case
C00263,0.1966487823288365,Case
C00270,0.3557798442962578,Case
C00272,0.5718338704943863,Case
C00273,-0.1064775261045245,Case
C00275,0.5898992700465645,Case
C00276,0.4524455352105249,Case
C00284,0.401370739559202,Case
C00286,0.3759693468257828,Case
C00287,0.2744337835975394,Case
C00288,0.3401624601677099,Case
C00295,0.3219213992180907,Case
C00296,0.2621967207395421,Case
C00300,0.0658157381079972,Case
C00302,0.4545062756221661,Case
C00303,0.2245437864373506,Case
